"","Entidad.federativa","Total","Hombres","Mujeres"
"1","Aguascalientes",1425607,696683,728924
"2","Baja California",3769020,1900589,1868431
"3","Baja California Sur",798447,405879,392568
"4","Campeche",928363,456939,471424
"5","Coahuila de Zaragoza",3146771,1563669,1583102
"6","Colima",731391,360622,370769
"7","Chiapas",5543828,2705947,2837881
"8","Chihuahua",3741869,1853822,1888047
"9","Ciudad de México",9209944,4404927,4805017
"10","Durango",1832650,904866,927784
"11","Guanajuato",6166934,2996454,3170480
"12","Guerrero",3540685,1700612,1840073
"13","Hidalgo",3082841,1481379,1601462
"14","Jalisco",8348151,4098455,4249696
"15","México",16992418,8251295,8741123
"16","Michoacán de Ocampo",4748846,2306341,2442505
"17","Morelos",1971520,950847,1020673
"18","Nayarit",1235456,612278,623178
"19","Nuevo León",5784442,2890950,2893492
"20","Oaxaca",4132148,1974843,2157305
"21","Puebla",6583278,3160115,3423163
"22","Querétaro",2368467,1156820,1211647
"23","Quintana Roo",1857985,936779,921206
"24","San Luis Potosí",2822255,1372451,1449804
"25","Sinaloa",3026943,1494815,1532128
"26","Sonora",2944840,1472197,1472643
"27","Tabasco",2402598,1173671,1228927
"28","Tamaulipas",3527735,1736140,1791595
"29","Tlaxcala",1342977,649894,693083
"30","Veracruz de Ignacio de la Llave",8062579,3871774,4190805
"31","Yucatán",2320898,1140279,1180619
"32","Zacatecas",1622138,791058,831080
